,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ACCCE,,,,,API,,,,,NAM,,,,,US CC,,,,,ANY?,,,,,,,
,,,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,2006,2007,2008,2009,2010,,,
AES,Energy,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstom Power (ACCCE member),Energy,✓,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
BP America (API member),Energy,✓,,,,,,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,,,
"ConocoPhillips (API member, NAM member/ sits on Board of Directors)",Energy,✓,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,2,2,2,2,2,,,
Duke Energy ,Energy,✓,,,1,1,,,,,,,1,1,1,,,,1,1,1,,1,2,3,2,,,,
Exelon,Energy,✓,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,
FPL Group,Energy,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"General Electric (ACCCE member, API member, NAM member/Board of Directors)",Energy,✓,,,1,1,1,1,1,1,1,,1,1,,1,1,,,1,,,2,2,3,3,2,,,
NRG Energy,Energy,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG&E,Energy,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNM Resources ,Energy,✓,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,,
Shell (API member),Energy,✓,,,,,,1,1,1,1,1,1,1,1,,1,,,,,,2,2,2,1,2,,,
Siemens (API member),Energy,✓,,,,,,,,1,1,1,,,,,,1,1,1,1,,1,1,2,2,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FFI USCAP MEMBERS,13,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCM MEMBERS in 2006,8,61.54%
ACCCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCM MEMBERS in 2007,8,61.54%
https://www.desmog.com/american-coalition-clean-coal-electricity/#s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCM MEMBERS in 2008,8,61.54%
https://www.desmog.com/2009/09/02/duke-energy-quits-coal-lobby-front-group/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCM MEMBERS in 2009,7,53.85%
https://www.desmog.com/wp-content/uploads/files/API%20Members%20-%202018_0.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCCM MEMBERS in 2010,5,38.46%
NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.desmog.com/wp-content/uploads/files/NAM%20People%20-%20Pub.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://web.archive.org/web/20060213012046/http://www.uschamber.com/about/board/all.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://web.archive.org/web/20070208024448/http://www.uschamber.com/about/board/all.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://web.archive.org/web/20080214232239/http://www.uschamber.com/about/board/all.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://web.archive.org/web/20090218113936/http://www.uschamber.com/about/board/all.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://web.archive.org/web/20100706050615/http://www.uschamber.com/about/board/all.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
